id,region,event,city,county,name,property,people,description,background,process,follow,vertify,anecdote,latitude,longitude,ls_id,period_order
58,陕西,刘裕北伐（灭后秦）,西安市,,刘裕北伐（灭后秦）,军事征服,刘裕、姚泓,417年东晋刘裕攻入长安，灭后秦。,后秦内乱，刘裕为积累政治资本北伐。,王镇恶率水军沿渭水直抵长安，姚泓出降。,晋军次年撤离，关中复归胡夏所有。,《宋书》称长安「城内户不盈百」，反映战乱破坏程度。,刘裕将后秦浑天仪南迁，此为中国最早天文仪器迁移记录。,34.113209,108.617168,58,2
59,陕西,盖吴起义,延安市,,盖吴起义,民族起义,盖吴,445年卢水胡人盖吴在杏城（今陕西黄陵）起义，联合汉、羌、匈奴等族反抗北魏统治。,北魏赋役苛重，民族压迫激化矛盾。,义军一度攻占长安以西多地，太武帝拓跋焘亲征镇压，采用分化策略瓦解联军。,446年起义失败，北魏强化关中控制，颁布《禁私养沙门诏》加强思想管控。,《魏书·世祖纪》载「杏城民盖吴聚众反」，今黄陵县仍有杏城遗址。,太武帝镇压期间发现长安寺院藏有兵器，成为灭佛导火索之一。,36.890877,108.635398,59,2
61,陕西,孝武西迁,西安市,,孝武西迁,政治迁都,北魏孝武帝元修、高欢,534年孝武帝为摆脱权臣高欢控制，从洛阳迁都长安（今陕西西安）。,北魏政权分裂为高欢与宇文泰两大集团。,元修率轻骑入关中投奔宇文泰，高欢另立孝静帝迁邺城，北魏正式分裂。,西魏政权建立，奠定北周基础；关中成为北方政治中心之一。,《魏书》称「帝率南阳王宝炬等五千骑入关」，但实际随行人员规模存疑。,孝武帝因与宇文泰矛盾，次年被毒杀，史称「魏室遂为宇文氏所有」。,34.113209,108.617168,61,2
62,陕西,府兵制改革,西安市,,府兵制改革,军事制度改革,宇文泰、苏绰,西魏在长安创立府兵制，融合鲜卑部落兵制与汉族户籍制度。,为对抗东魏高欢，需整合关陇豪强武装。,设八柱国、十二大将军，兵农分离，士兵另立军籍，武器马匹自备。,成为北周、隋唐军事基础，关陇集团主导中国政局近两百年。,《周书·文帝纪》载「初置府兵」，但具体建制时间有543年与550年两说。,隋文帝杨坚之父杨忠为十二大将军之一，奠定隋朝建国基础。,34.113209,108.617168,62,2
63,陕西,北周武帝灭佛,西安市,,北周武帝灭佛,宗教整顿运动,宇文邕,574年北周武帝在长安下诏「断佛道二教」，摧毁关中寺院。,为增加兵源赋税，打击寺院经济。,全国范围拆毁寺庙4万所，300万僧尼还俗，独尊儒教。,佛教艺术转向敦煌等偏远地区发展；隋朝恢复佛教但限制规模。,《周书·武帝纪》载「经像悉毁，罢沙门道士」，但实际执行力度因地而异。,少林寺武僧因此事件还俗，成为民间武术传播重要力量。,34.113209,108.617168,63,2
64,陕西,杨坚称帝,西安市,,杨坚称帝,政权更迭,杨坚、宇文阐,581年杨坚在长安接受北周静帝禅让，建立隋朝。,北周末年主幼国疑，杨坚以外戚身份掌权。,通过「三让而受天命」的禅让仪式，改国号隋，仍都长安。,589年灭陈统一全国，终结近三百年分裂局面。,《隋书·高祖纪》详载禅让过程，但现代学者认为实为武装政变。,杨坚夺权前有「圣人可汗」预言，实为后世附会。,34.113209,108.617168,64,2
65,陕西,营建大兴,西安市,,营建大兴,都城建设,宇文恺,隋开皇二年（582年），文帝命宇文恺在汉长安城东南新建都城，命名大兴城（今陕西西安）。,汉长安城破败且水质咸卤，需新建都城巩固统治。,历时9个月建成宫城与皇城，布局对称，功能分区明确。,大兴城为唐代长安城基础，影响东亚都城形制。,考古发掘证实隋大兴城与唐长安城叠压关系。,传说宇文恺以《周易》乾卦理论设计城市。,34.113209,108.617168,65,3
66,甘肃,隋与突厥之战（凉州之战）,武威市,,隋与突厥之战（凉州之战）,边境战役,隋文帝、突厥沙钵略可汗,开皇三年（583年），突厥沙钵略可汗率军攻隋，凉州（今甘肃武威）一带爆发激战。,突厥趁隋朝新立频繁南侵，威胁河西走廊。,隋将李充在凉州马邑（今甘肃武威附近）大破突厥，斩首千余级。,此战为隋朝分化突厥战略的重要环节。,《隋书·突厥传》记载简略，具体战场位置存疑。,,37.635753,102.814829,66,3
67,甘肃,吐谷浑扰境,张掖市,,吐谷浑扰境,边境冲突,隋炀帝、吐谷浑伏允可汗,大业五年（609年），隋炀帝西巡至张掖，期间派军击溃吐谷浑，设西海、河源等郡。,吐谷浑控制青海道，阻碍隋朝与西域交通。,隋军分兵合围，伏允可汗败逃，隋朝控制青海东部。,隋朝短暂控制青海地区，但大业末年后吐谷浑复国。,《资治通鉴》载炀帝在张掖接见西域诸王，但军事行动主要在青海境内。,炀帝在张掖举办“万国博览会”之说系后世演绎。,38.508199,100.428219,67,3
68,陕西,杨广夺位,西安市,,杨广夺位,宫廷政变,杨广、隋文帝、杨素,仁寿四年（604年），杨广在大兴宫通过宫廷政变继位，史称隋炀帝。,文帝晚年太子杨勇被废，杨广与权臣杨素勾结谋取储位。,文帝病重时，杨广控制宫禁，疑似参与弑父（存争议），随即即位。,炀帝激进政策导致隋朝速亡。,文帝死因《隋书》记载模糊，存在被弑推测但无确证。,民间传说炀帝弑父淫母，多为唐代政治污名化。,34.113209,108.617168,68,3
69,陕西,晋阳起兵（李渊入关中）,西安市,,晋阳起兵（李渊入关中）,军事行动,李渊、李世民,隋大业十三年（617年），李渊从晋阳（今山西太原）起兵，经河东渡黄河入关中，攻克长安（今陕西西安）。,隋末天下大乱，李渊趁机夺取关中根据地。,沿渭水南下，招降关中义军，十一月攻占长安，立代王杨侑为帝。,奠定唐朝开国基础，次年李渊称帝。,入关路线存在不同记载，《旧唐书》与《大唐创业起居注》略有差异。,传说李世民在渭北谒见李渊时献计速取长安。,34.113209,108.617168,69,3
70,陕西,昭陵六骏,咸阳市,礼泉县,昭陵六骏,帝王陵墓艺术,李世民,贞观十年（636年）起，唐太宗为纪念战马，在昭陵（今陕西礼泉九嵕山）刻六块战马浮雕。,彰显太宗开国武功，体现“天子乘马定天下”思想。,阎立德、阎立本设计，每块石刻高约1.7米，宽约2米，现存西安碑林博物馆。,其中“飒露紫”“拳毛騧”1914年被盗运海外，现存美国宾大博物馆。,六骏中白蹄乌、特勒骠、青骓、什伐赤四骏是否均为李世民坐骑存争议。,飒露紫石刻表现丘行恭为马拔箭场景，为唯一有人物形象者。,34.556031,108.627257,70,3
71,陕西,渭水之盟,西安市,,渭水之盟,外交盟约,李世民、颉利可汗,武德九年（626年）八月，突厥颉利可汗率军至渭水便桥北，李世民亲率六骑与之盟誓于渭水南岸（今西安城北）。,玄武门之变后唐朝政局不稳，突厥趁机南下。,李世民空城计震慑突厥，双方宰白马立盟，突厥退兵。,为唐朝赢得备战时间，四年后灭东突厥。,盟誓具体地点有渭便桥、渭水岸边等不同说法。,民间传说李世民单骑会颉利，实带房玄龄等六人。,34.113209,108.617168,71,3
72,甘肃,玄奘西行（出关）,酒泉市,瓜州县,玄奘西行（出关）,宗教文化事件,玄奘,贞观三年（629年），玄奘从长安出发，经秦州（今天水）、凉州（今武威），偷渡玉门关（今甘肃瓜州锁阳城遗址北）西去天竺。,佛教典籍传译不全，玄奘决意西行求法。,在瓜州得胡人石槃陀相助，夜渡葫芦河，穿越五烽。,开启历时17年的取经壮举，归国后在长安译经。,玉门关位置存争议，唐玉门关在瓜州说为学界主流。,瓜州锁阳城传说为玄奘讲经处，锁阳植物得名与此相关。,40.4422,95.72084,72,3
73,甘肃,文成公主入藏（途经）,张掖市,,文成公主入藏（途经）,和亲外交,文成公主、松赞干布,贞观十五年（641年），文成公主从长安出发，经陇右道过张掖、酒泉，穿越祁连山扁都口入青海赴吐蕃。,唐蕃首次和亲，巩固西部边疆。,送亲队伍携带释迦牟尼12岁等身像、工匠典籍，在张掖休整月余。,开辟唐蕃古道，河西走廊留存众多公主传说。,具体路线存在青海道与四川松潘道争议，河西走廊说为正史记载。,张掖大佛寺传说为公主暂居地，现存明代《西游记》壁画含公主形象。,38.508199,100.428219,73,3
74,陕西,唐长安城,西安市,,唐长安城,都城建设,宇文恺（基础）、阎立德,在隋大兴城基础上扩建，面积84平方公里，设108坊，朱雀大街宽150米，为当时世界最大都城。,继承隋朝都城基础，体现大一统王朝气象。,永徽五年（654年）筑外郭城，总章二年（669年）建大明宫。,安史之乱后逐渐衰落，现存大明宫遗址等。,长安人口百万之说存疑，最新研究认为约70null80万。,延平门至延兴门东西直线被称为“天街”，韩愈有“天街小雨润如酥”诗句。,34.113209,108.617168,74,3
75,陕西,韦后之乱,西安市,,韦后之乱,宫廷政变,韦皇后、安乐公主、李隆基,唐中宗景龙四年（710年），韦皇后与安乐公主毒杀中宗，企图效仿武则天称帝，李隆基联合太平公主发动政变，诛杀韦后集团。,武则天退位后，韦后与安乐公主权欲膨胀，试图掌控朝政。,韦后立温王李重茂为傀儡皇帝，李隆基率禁军夜袭玄武门，诛杀韦后、安乐公主及其党羽。,李隆基之父李旦复位，为唐睿宗，开启开元盛世前夕的政治过渡。,新旧《唐书》记载细节略有差异，但政变核心过程基本一致。,传说李隆基政变前曾占卜得“龙飞在天”之兆。,34.113209,108.617168,75,3
76,陕西,唐隆之变,西安市,,唐隆之变,政变,李隆基、太平公主,景龙四年（710年）六月，李隆基联合太平公主发动政变，清除韦后势力，拥立睿宗李旦复位。,韦后专权引发朝野不满，李隆基借禁军力量夺权。,政变中诛杀韦后、安乐公主及上官婉儿，彻底终结武周残余势力。,太平公主与李隆基权力斗争加剧，为先天政变埋下伏笔。,政变时间《资治通鉴》记为庚子夜，具体时辰存在不同版本。,政变当日禁军钟绍京因恐惧躲入厕所，被妻子劝出参与。,34.113209,108.617168,76,3
77,陕西,太平公主之死,西安市,,太平公主之死,政治清算,李隆基、太平公主,先天二年（713年），李隆基先发制人，剿灭太平公主集团，赐死公主于长安。,太平公主试图废黜玄宗，双方矛盾激化。,李隆基率亲信擒杀公主党羽窦怀贞、萧至忠等，太平公主逃入南山佛寺三日后被迫自尽。,玄宗彻底掌握政权，改元开元，开启盛世。,《旧唐书》称公主“赐死于家”，《新唐书》称“迫令自尽”，细节存异。,传说公主临死前感叹：“不如作一田舍翁女！”,34.113209,108.617168,77,3
78,陕西,李杨专权,西安市,,李杨专权,权臣政治,李林甫、杨国忠,开元至天宝年间（734null755年），李林甫、杨国忠相继把持朝政，排斥异己，加剧政治腐败。,玄宗晚年怠政，委权于宰相。,李林甫首创“野无遗贤”的科举闹剧；杨国忠任相期间激化与安禄山矛盾。,直接导致安史之乱爆发，唐朝由盛转衰。,李林甫执政年限（19年）为唐朝宰相之最，但具体权术手段记载或有夸张。,民间传说李林甫为“肉腰刀”，喻其口蜜腹剑。,34.113209,108.617168,78,3
79,陕西,安史之乱（长安陷落）,西安市,,安史之乱（长安陷落）,叛乱,安禄山、唐玄宗,天宝十五载（756年）六月，安禄山叛军攻陷长安，玄宗仓皇西逃。,节度使权力膨胀，中央与边镇矛盾激化。,潼关失守后，玄宗弃长安经马嵬驿（今陕西兴平）逃往成都。,太子李亨灵武即位，唐朝耗时八年平定叛乱。,长安陷落时间《旧唐书》记为甲午日，《新唐书》作乙未日，相差一日。,传说玄宗逃亡途中仍命乐工奏《雨霖铃》。,34.113209,108.617168,79,3
80,四川,安史之乱（玄宗入蜀）,成都市,,安史之乱（玄宗入蜀）,政治流亡,唐玄宗,天宝十五载（756年）七月，玄宗抵达成都，以剑南节度使治所为行宫，驻跸一年余。,长安陷落后，四川成为重要避难所。,玄宗在成都赦天下、改元至德，重组流亡政府。,成都在此期间成为唐朝临时政治中心，后玄宗返长安为太上皇。,玄宗具体居所为成都府署，非传说的“青羊宫”。,成都至今留有“天回镇”地名，传说因玄宗至此折返得名。,30.568437,104.529473,80,3
81,甘肃,唐蕃清水之盟,天水市,清水县,唐蕃清水之盟,外交盟约,唐德宗、吐蕃大相尚结赞,建中四年（783年），唐蕃在清水（今甘肃清水）划定边界，立碑为界，暂时缓和双方冲突。,安史之乱后陇右尽失，吐蕃占据战略主动。,双方约定唐割让泾、陇等州，以弹筝峡（今平凉西）至清水为界，吐蕃承诺停止进攻。,盟约仅维持四年，贞元二年（786年）吐蕃即毁约南侵。,《旧唐书·吐蕃传》详载盟书内容，界碑遗址已不存。,传说立碑时吐蕃使者偷移界碑，导致实际控制线向唐境推进。,34.64821,106.43028,81,3
82,甘肃,平凉劫盟,平凉市,,平凉劫盟,军事伏击,唐使浑瑊、吐蕃尚结赞,贞元三年（787年），吐蕃假意会盟，在平凉（今甘肃平凉）设伏袭击唐使团，劫持官员六十余人。,吐蕃企图削弱唐朝西北边防力量。,浑瑊侥幸逃脱，副使崔汉衡等被俘，吐蕃乘势攻掠陇东。,唐朝暂停与吐蕃和谈，加强泾原防线。,《资治通鉴》记载伏兵三万，《吐蕃历史文书》讳言此事。,传说浑瑊马鞍中箭仍疾驰三十里方得脱险。,35.521517,105.728467,82,3
83,陕西,泾原兵变（奉天之难）,咸阳市,乾县,泾原兵变（奉天之难）,兵变,唐德宗、朱泚,建中四年（783年），泾原镇士卒途经长安时哗变，德宗逃往奉天（今陕西乾县），叛军拥立朱泚称帝。,朝廷赏赐不公引发边军不满，河北藩镇叛乱未平。,叛军占据长安，围攻奉天五十余日，最终由李晟率神策军收复京师。,唐朝权威进一步衰落，开启“天子九逃”先例。,奉天城遗址现存乾县县城内，城墙残高仍可见。,德宗出逃时玉玺遗失，后用木头刻制临时玺印。,34.643536,108.209936,83,3
84,甘肃,陇右十八州陷蕃,,,陇右十八州陷蕃,领土丧失,吐蕃论莽罗,安史之乱后至贞元年间（755null804年），吐蕃逐步攻占陇右道鄯、廓、河、兰等十八州（今甘肃中部及青海东部）。,唐朝抽调陇右精兵平叛，导致边防空虚。,广德元年（763年）吐蕃已占秦、渭等州，贞元六年（790年）最后据点西州陷落。,汉人“左衽而服，辫发而赭面”，该地区吐蕃化持续近百年。,具体失陷时序各州不一，《新唐书·地理志》列十八州名录。,敦煌文书P.2555记载陷蕃诗人马云奇“终日啼悲水，经秋度陇云”诗句。,38.508199,100.428219,84,3
85,陕西,贞元之盟,西安市,,贞元之盟,外交协议,唐德宗、吐蕃使论泣赞,贞元三年（787年）平凉劫盟后，双方在长安重申清水盟约部分条款，实际无约束力。,唐朝为争取战略喘息期的权宜之计。,吐蕃遣使献劫盟时缴获的唐朝官印、节钺以示“诚意”。,次年吐蕃即大举进攻灵、盐等州。,此事未载于正史本纪，仅见于《白氏长庆集·与吐蕃宰相尚绮心儿书》。,,34.113209,108.617168,85,3
86,甘肃,归义军,酒泉市,敦煌市,归义军,地方政权,张议潮,大中五年（851年），张议潮在沙州（今甘肃敦煌）起义驱逐吐蕃，建立归义军政权，收复瓜、沙等十一州。,吐蕃统治河西后期压迫加剧，汉人豪族反抗。,张议潮遣使绕道天德军向唐廷献图籍，获封归义军节度使。,实际保持半独立状态，历经张、曹两姓统治，北宋景祐三年（1036年）亡于西夏。,《张议潮变文》与敦煌文书P.2962《沙州进奏院状》互为印证。,莫高窟第156窟存《张议潮统军出行图》,40.179894,94.76792,86,3
87,四川,唐与南诏战争（西川战役）,成都市,,唐与南诏战争（西川战役）,边境战争,李德裕、段宗牓,太和三年（829年）至咸通十年（869年），南诏六次攻入西川，其中两次围困成都。,南诏与唐朝争夺大渡河以南控制权。,咸通十一年（870年）南诏倾国之力攻成都，唐将宋威在毗桥（今新都）大破南诏象军。,唐朝被迫在成都罗城外加筑“糜枣堰”防御工事。,《资治通鉴》载南诏掳掠“子女工技数万”，但具体人数存疑。,成都青羊宫传说为唐军斩杀南诏大象处,30.568437,104.529473,87,3
88,陕西,甘露之变,西安市,,甘露之变,政治清洗,唐文宗、李训、仇士良,大和九年（835年）十一月，文宗与李训等策划诛杀宦官，失败后反遭宦官集团血洗朝堂。,宦官专权引发士大夫集团反抗。,假称金吾仗院石榴树夜降甘露，诱宦官仇士良等查看时实施刺杀，事泄后六百余朝臣被杀。,开创“宦官立君”先例，皇权彻底旁落。,遇难人数《旧唐书》与《新唐书》记载相差三倍。,白居易因早退错过事变，躲过一劫,34.113209,108.617168,88,3
89,陕西,会昌灭佛（长安实施）,西安市,,会昌灭佛（长安实施）,宗教政策,唐武宗、李德裕,会昌五年（845年），在长安推行大规模灭佛运动，毁寺4600所，还俗僧尼26万余人。,寺院经济膨胀影响国家财政，武宗崇道排佛。,保留长安保留慈恩、荐福、西明、庄严四寺，每寺留僧30人。,宣宗即位后复兴佛教，但长安佛教势力再未恢复盛况。,《入唐求法巡礼行记》载日僧圆仁亲历灭佛实况。,大秦景教碑因被误认为佛教碑刻险遭毁坏,34.113209,108.617168,89,3
90,陕西,黄巢之乱（长安陷落）,西安市,,黄巢之乱（长安陷落）,民变,黄巢,广明元年（880年）十二月，黄巢军攻入长安，建立大齐政权，唐僖宗逃亡成都。,关东连年饥荒，科举失意的黄巢聚众起义。,潼关失守后，宦官田令孜挟僖宗经大散关逃往汉中，次年正月抵成都。,长安遭反复争夺，最终中和三年（883年）由李克用收复。,黄巢称帝地点《旧唐书》称含元殿，《新唐书》称丹凤门，存争议。,传说黄巢作《不第后赋菊》明志,34.113209,108.617168,90,3
91,四川,飞钱起源,成都市,,飞钱起源,金融创新,,贞元至元和年间（785null820年），成都出现“飞钱”票据，商人在京师将钱款交柜，持券至成都取用。,蜀锦贸易兴盛催生跨区域汇兑需求。,最初由私商经营，后官府设“进奏院”办理官方飞钱。,开中国纸币制度先河，宋代交子直接继承此制。,《新唐书·食货志》载“宪宗以钱少，复禁用铜器，时商贾至京师，委钱诸道进奏院”,成都交子博物馆藏有世界最早纸币复制品,30.568437,104.529473,91,3
92,陕西,后周世宗灭佛,西安市,,后周世宗灭佛,宗教政策,柴荣,显德二年（955年），后周世宗下诏毁佛，陕西境内（时属后周控制区）寺院被毁，僧尼还俗。,整顿财政，限制寺院经济扩张。,销毁铜佛像铸钱，保留敕额寺院269所，废寺院30336所。,陕西佛教势力严重削弱，北宋建立后逐步恢复。,《旧五代史》载关中地区'寺宇除荐福、慈恩、西明外尽毁'，但具体数目存疑。,传说长安大雁塔因藏有玄奘舍利得以保留,34.113209,108.617168,92,3
93,四川,王建建蜀,成都市,,王建建蜀,政权建立,王建,唐天复七年（907年），王建在成都称帝，国号大蜀（史称前蜀），控制四川盆地及汉中地区。,朱温篡唐后，王建拒绝承认后梁，割据自立。,以剑南西川节度使身份逐步兼并东川、山南西道，最终完成对巴蜀的统一。,前蜀享国18年，925年被后唐所灭。,《蜀梼杌》载王建改元“武成”，《资治通鉴》采用后梁年号记载存在矛盾。,永陵出土王建石像为现存唯一唐代帝王写真石刻,30.568437,104.529473,93,3
94,四川,孟知祥称帝,成都市,,孟知祥称帝,政权建立,孟知祥,后唐应顺元年（934年），孟知祥在成都称帝，国号蜀（史称后蜀），辖四川大部及甘肃文州（今文县）。,后唐内乱导致对蜀地控制力下降。,以西川节度使身份击退后唐讨伐军，吞并东川，最终独立称帝。,后蜀维持32年，965年降宋。,孟知祥称帝月日《旧五代史》记为闰正月，《新五代史》作正月，存在记载差异。,广政石经现存成都文殊院，为后蜀文化工程遗存,30.568437,104.529473,94,3
95,四川,北宋统一战争（灭后蜀）,成都市,,北宋统一战争（灭后蜀）,军事征服,赵匡胤、孟昶,乾德二年（964年）十一月至三年正月，北宋军分两路攻灭后蜀，孟昶出降，四川纳入北宋版图。,赵匡胤实施'先南后北'统一战略，后蜀占据四川富庶之地。,王全斌率北路出凤州（今陕西凤县），曹彬率东路出归州（今湖北秭归），会师成都。,宋军劫掠引发全师雄兵变，四川经三年动荡始平。,《续资治通鉴长编》载'六十六日灭蜀'之说忽略后续平乱时间。,传说孟昶宠妃花蕊夫人作诗讽降：'十四万人齐解甲，更无一个是男儿',30.568437,104.529473,95,4
96,甘肃,六谷部抗夏,武威市,,六谷部抗夏,民族抵抗,潘罗支（吐蕃六谷部首领）,咸平四年至大中祥符年间（1001null1016），凉州吐蕃六谷部联合北宋抗击西夏，多次击退李继迁进攻。,西夏扩张威胁河西走廊，六谷部为保领地与北宋结盟。,潘罗支多次献马助宋，景德元年（1004）设西凉府为宋夏缓冲。,大中祥符八年（1015）西夏攻陷凉州，六谷部政权终结。,《宋史·吐蕃传》载其'厮铎督犹羁縻'，实际控制权已归西夏。,凉州大云寺西夏碑文记载六谷部与西夏拉锯战,37.635753,102.814829,96,4
97,陕西,宋夏战争（陕西战场）,延安市,,宋夏战争（陕西战场）,边境战争,范仲淹、韩琦、李元昊,宝元元年至庆历四年（1038null1044），西夏多次进攻陕西鄜延路，爆发三川口、好水川、定川寨等战役。,西夏立国后企图夺取关中，陕西成宋夏对峙前沿。,李元昊利用骑兵优势突袭，宋军凭寨堡防御体系逐步扭转劣势。,庆历和议划定边界，陕西设四路经略安抚司长期备边。,《续资治通鉴长编》与《西夏书事》对战役细节记载存在差异。,范仲淹《渔家傲·秋思》'塞下秋来风景异'即作于延州戍边时,36.890877,108.635398,97,4
98,甘肃,收取青唐,临夏回族自治州,,收取青唐,边疆经略,王韶、唃厮啰,熙宁五年至六年（1072null1073），王韶发动'熙河开边'，攻占吐蕃青唐政权控制的熙（今临洮）、河（今临夏）、洮（今临潭）等州。,切断西夏与吐蕃联盟，打通丝绸之路南线。,采用'招抚与征讨并用'策略，建通远军（今陇西）为基地逐步推进。,设熙河路，为北宋最大疆域拓展，但耗费巨大埋下财政危机。,《宋史·王韶传》夸大斩首数，实际多靠政治手段降服部落。,王安石赞此役'雪百年之耻'，苏轼却批评'以利啖边将生事',36.053,103.52811,98,4
99,四川,交子发行,成都市,,交子发行,金融创新,张咏、薛田,天圣元年（1023），益州（今成都）设立交子务，发行世界最早官方纸币，解决铁钱流通不便问题。,蜀地商贾云集，铁钱'一贯重二十五斤'阻碍大宗交易。,初期由十六户富商联保发行，后因信用危机改由官办。,南宋发展为会子制度，影响元明宝钞体系。,交子诞生时间有淳化三年（992）私交子说，学界多采天圣官办说。,成都交子公园现存仿制交子铜雕,30.568437,104.529473,99,4
101,四川,饶凤关之战,广元市,,饶凤关之战,防御战,吴玠、撒离喝,1133年金将撒离喝企图经饶凤关（今陕西石泉与四川广元交界）入川，被吴玠击退。,金军避开和尚原防线，试图从汉中东侧打开入川通道。,宋军昼夜疾驰300里增援，以滚木礌石阻敌六昼夜，最终金军粮尽退兵。,此战验证川陕防线的机动防御能力，金军转向主攻江淮。,《建炎以来系年要录》载此战于绍兴三年，但具体关隘位置存在陕川交界处争议。,撒离喝败退时哭称「吴玠真神将也」，得「啼哭郎君」绰号。,32.159161,106.389622,101,4
102,甘肃,皂郊堡之战,天水市,,皂郊堡之战,边境冲突,李彦琪、完颜纲,1206年开禧北伐期间，宋将李彦琪反攻陇右，短暂收复皂郊堡（今甘肃天水南）。,南宋配合东部战线，试图在川陕方向牵制金军。,宋军突袭得手，但遭金将完颜纲反扑，最终败退。,暴露宋军在陇右地区后勤薄弱，此后川陕战场转入守势。,《金史·完颜纲传》称「宋将李彦琪寇秦州」，但宋方史料对此战记载简略。,当地现存宋代烽燧遗址，民间称「北伐墩」。,34.78354,106.40256,102,4
104,甘肃,皂郊堡之战（开禧北伐）,天水市,,皂郊堡之战（开禧北伐）,边境攻防战,完颜纲、李彦琪,1206年南宋开禧北伐期间，宋将李彦琪反攻陇右，短暂收复皂郊堡（今甘肃天水南），遭金将完颜纲反击溃败。,南宋为牵制金军主力，在川陕方向发动策应性进攻。,宋军突袭占领皂郊堡，但因后勤断绝，金军调陇右精骑反扑，宋军溃退。,金国强化秦州（今天水）防务，南宋再未大规模北进陇右。,《金史·完颜纲传》详载此战，而《宋史》仅模糊提及「李彦琪出兵秦陇」，具体战果存争议。,当地现存宋代烽燧遗址，民间称「北伐墩」，出土铁甲残片与箭镞。,34.78354,106.40256,104,4
105,陕西,宋夏战争·三川口之战,延安市,,宋夏战争·三川口之战,边境战役,李元昊、刘平、石元孙,宝元三年（1040年），西夏军于三川口（今延安市西北）设伏，歼灭宋军万余，俘宋将刘平、石元孙。,西夏立国后首次大规模南侵，意图夺取延州。,李元昊佯攻保安军，诱宋军救援途中设伏，宋军因情报失误中伏溃败。,北宋调整陕西防务，启用范仲淹、韩琦等主持边事。,《续资治通鉴长编》载战场'距延州二十里'，今考为延安市安塞区沿河湾镇。,宋将黄德和临阵脱逃，反诬刘平降敌，后真相大白被腰斩,36.890877,108.635398,105,4
106,陕西,永乐城之战,榆林市,米脂县,永乐城之战,攻城战,李元昊之孙秉常、徐禧,元丰五年（1082年），西夏30万大军围攻永乐城（今陕西米脂西北），宋军惨败，死者二十余万。,北宋推行'进筑横山'战略，永乐城成为突出部。,西夏切断水源，乘夜总攻，守军因指挥失误崩溃。,此战导致北宋放弃横山战略，神宗闻讯痛哭辍朝。,《宋会要辑稿》载死亡人数可能夸大，实际损失约七万。,永乐城陷落时，宋将高永能拒绝换装逃命，战死殉国,37.775718,109.923049,106,4
107,甘肃,蒙夏战争·甘州之战,张掖市,,蒙夏战争·甘州之战,灭国战争,成吉思汗、西夏献宗德旺,宝义元年（1226年），蒙古军攻陷甘州（今甘肃张掖），屠城并焚毁西夏行宫。,西夏拒绝派兵助蒙西征，招致灭国之祸。,蒙古采用'先剪羽翼，后捣腹心'战略，先克河西诸州。,次年蒙军攻陷中兴府，西夏灭亡。,《蒙古秘史》载此战用俘虏填壕攻城，但汉文史料未见记载。,传说甘州城破时，西夏守将曲也怯律之子在蒙军阵前劝降,38.508199,100.428219,107,4
108,甘肃,蒙夏战争,张掖市,,蒙夏战争,灭国战争,成吉思汗、李安全、李德旺,1226null1227年，成吉思汗亲征西夏，连克甘肃张掖（甘州）、武威（凉州），围困中兴府（银川）。西夏末帝投降后遭屠城，西夏灭亡。,西夏拒绝派兵助蒙古西征，成吉思汗临终遗言'必灭之'。,蒙古采用'先断右臂'战略，先取河西走廊，切断西夏退路。甘州之战中，西夏守将曲也怯律之子在蒙军阵前劝降。,西夏王陵被毁，党项族逐渐融入其他民族。,《元史》称西夏末主李睍投降后被杀，但黑水城文献显示部分宗室西逃。,传说成吉思汗死于西夏王妃刺杀，但实为病逝于六盘山,38.508199,100.428219,108,4
109,陕西,蒙金战争·凤翔之战,宝鸡市,,蒙金战争·凤翔之战,攻坚战,拖雷、完颜合达,1231年四月，拖雷率蒙军攻破金朝西京留守完颜合达坚守的凤翔（今陕西宝鸡），打开入陕通道。,为实现假道灭金战略，蒙古需控制关中地区。,蒙军用回回炮轰城，挖掘地道破城，金军三万守军覆没。,此战后蒙军实现'斡腹之谋'，次年三峰山之战歼灭金军主力。,《金史》称守城47日，《史集》记载围城三月，时间存疑。,蒙军将俘虏耳鼻割下堆成'京观'威慑金朝,34.377266,107.15567,109,4
110,四川,窝阔台攻宋之战·成都大屠,成都市,,窝阔台攻宋之战·成都大屠,征服战争,阔端、高稼,1236年十月，蒙古皇子阔端破阳平关，攻陷成都，实施大屠杀，《史集》载'城内骸骨一百四十万'。,蒙古实施'先取蜀，后定江南'战略。,宋将曹友闻战死仙人关，蒙军长驱直入，成都守将丁黼巷战身亡。,四川人口从259万户锐减至12万户，余玠后来重建山城防御体系。,死亡人数存在夸张，考古发现成都明代地层下普遍存在元代空白层。,蒙军掳走蜀地工匠，促成波斯细密画中的中国元素,30.568437,104.529473,110,4
